vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2019-66,201901,162,178,2,78.67,0,145.7,0.9085,0.1495,0,59.65589,-177.1321,O-31,176,3.3,7232019,5,EBS,0.16455696202531644,16.455696202531644,6.076923076923077,2019
2019-67,201901,162,178,2,78.89,0,141.2,1.6331,0.3145,0,59.65589,-177.1321,O-31,176,3.3,7232019,5,EBS,0.19257853162696711,19.257853162696712,5.19268680445151,2019
2019-68,201901,162,178,2,75.07,0,127.1,0.7911,0.2033,0,59.65589,-177.1321,O-31,176,3.3,7232019,5,EBS,0.2569839464037416,25.69839464037416,3.8912936546974914,2019
2019-69,201902,162,1,2,53.76,0,49.4,0.8057,0.2021,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.25083778081171654,25.083778081171655,3.986640277090549,2019
2019-71,201901,162,180,2,72.8,0,114.7,0.8023,0.243,0,60.00657,-177.89505,P-32,141,2.7,7232019,5,EBS,0.3028792222360713,30.28792222360713,3.3016460905349794,2019
2019-72,201902,162,1,2,56.01,0,55.1,0.656,0.1419,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.2163109756097561,21.63109756097561,4.622973925299507,2019
2019-73,201902,162,1,2,54.33,0,49.3,0.5676,0.1383,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.24365750528541227,24.365750528541227,4.10412147505423,2019
2019-74,201902,162,1,2,57.59,0,51.8,0.6704,0.202,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.3013126491646778,30.13126491646778,3.3188118811881187,2019
2019-75,201902,162,17,2,44.07,0,30.5,0.5572,0.1546,0,65.33502,-168.38779,FF-01,53,3.9,8052019,9,NBS,0.27745872218234024,27.745872218234023,3.604139715394567,2019
2019-76,201902,162,17,2,43.64,0,26.2,0.5437,0.1287,0,65.33502,-168.38779,FF-01,53,3.9,8052019,9,NBS,0.23671142173993015,23.671142173993015,4.224553224553224,2019
2019-77,201902,162,17,2,43.2,0,24,0.641,0.1609,0,65.33502,-168.38779,FF-01,53,3.9,8052019,9,NBS,0.25101404056162246,25.101404056162245,3.9838408949658177,2019
2019-78,201902,162,19,2,57.31,0,63.6,0.7926,0.2051,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.25876860963916226,25.876860963916226,3.864456362749878,2019
2019-79,201902,162,19,2,47.46,0,36.8,0.5494,0.1936,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.3523844193665817,35.23844193665817,2.837809917355372,2019
2019-80,201902,162,19,2,57.93,0,67.8,0.5286,0.197,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.37268255769958386,37.26825576995839,2.6832487309644666,2019
2019-81,201902,162,19,2,46.03,0,33.6,0.4592,0.0888,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.19337979094076657,19.33797909407666,5.171171171171171,2019
2019-82,201902,162,19,2,44.15,0,27.6,0.4421,0.191,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.4320289527256277,43.20289527256277,2.3146596858638744,2019
2019-83,201902,162,19,2,48.28,0,37.1,0.6682,0.1779,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.26623765339718647,26.62376533971865,3.756042720629567,2019
2019-84,201902,162,19,2,40.82,0,22.9,0.8721,0.133,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.1525054466230937,15.25054466230937,6.557142857142857,2019
2019-85,201902,162,19,2,45.46,0,31.1,0.6836,0.1618,0,65.01169,-169.90252,EE-19,50,2.8,8062019,9,NBS,0.2366881217086015,23.66881217086015,4.224969097651422,2019
